reward_improvement,perturb_type,perturb_idx_0,perturb_idx_1,perturb_idx_2
0.24,large,314,322.0,325.0
0.24,large,314,322.0,324.0
0.24,large,314,322.0,323.0
0.24,large,314,321.0,326.0
0.24,large,314,321.0,325.0
0.24,large,315,316.0,320.0
0.24,large,315,316.0,319.0
0.24,large,315,316.0,318.0
0.24,large,315,316.0,317.0
0.24,large,314,325.0,326.0
0.24,large,314,324.0,326.0
0.24,large,314,324.0,325.0
0.24,large,314,323.0,326.0
0.24,large,315,317.0,319.0
0.24,large,315,317.0,318.0
0.24,large,315,316.0,326.0
0.24,large,315,316.0,325.0
0.24,large,315,316.0,324.0
0.24,large,315,316.0,323.0
0.24,large,315,316.0,322.0
0.24,large,315,316.0,321.0
0.24,large,315,318.0,319.0
0.24,large,315,317.0,326.0
0.24,large,315,317.0,325.0
0.24,large,315,317.0,324.0
0.24,large,315,317.0,323.0
0.24,large,315,317.0,322.0
0.24,large,315,317.0,321.0
0.24,large,315,317.0,320.0
0.24,large,314,317.0,325.0
0.24,large,314,317.0,324.0
0.24,large,314,317.0,323.0
0.24,large,314,317.0,322.0
0.24,large,314,317.0,321.0
0.24,large,314,317.0,320.0
0.24,large,314,317.0,319.0
0.24,large,314,317.0,318.0
0.24,large,314,318.0,325.0
0.24,large,314,318.0,324.0
0.24,large,314,318.0,323.0
0.24,large,314,318.0,322.0
0.24,large,314,318.0,321.0
0.24,large,314,318.0,320.0
0.24,large,314,318.0,319.0
0.24,large,314,317.0,326.0
0.24,large,314,319.0,326.0
0.24,large,314,319.0,325.0
0.24,large,314,319.0,324.0
0.24,large,314,319.0,323.0
0.24,large,314,319.0,322.0
0.24,large,314,319.0,321.0
0.24,large,314,319.0,320.0
0.24,large,314,318.0,326.0
0.24,large,314,321.0,324.0
0.24,large,314,321.0,323.0
0.24,large,314,321.0,322.0
0.24,large,314,320.0,325.0
0.24,large,314,320.0,324.0
0.24,large,314,320.0,323.0
0.24,large,314,320.0,322.0
0.24,large,314,320.0,321.0
0.24,large,313,323.0,325.0
0.24,large,313,323.0,324.0
0.24,large,313,322.0,326.0
0.24,large,313,322.0,325.0
0.24,large,313,322.0,324.0
0.24,large,313,322.0,323.0
0.24,large,313,321.0,326.0
0.24,large,313,321.0,325.0
0.24,large,314,315.0,320.0
0.24,large,314,315.0,319.0
0.24,large,314,315.0,318.0
0.24,large,314,315.0,317.0
0.24,large,313,325.0,326.0
0.24,large,313,324.0,326.0
0.24,large,313,324.0,325.0
0.24,large,313,323.0,326.0
0.24,large,314,316.0,318.0
0.24,large,314,316.0,317.0
0.24,large,314,315.0,326.0
0.24,large,314,315.0,325.0
0.24,large,314,315.0,324.0
0.24,large,314,315.0,323.0
0.24,large,314,315.0,322.0
0.24,large,314,315.0,321.0
0.24,large,314,316.0,326.0
0.24,large,314,316.0,325.0
0.24,large,314,316.0,324.0
0.24,large,314,316.0,323.0
0.24,large,314,316.0,322.0
0.24,large,314,316.0,321.0
0.24,large,314,316.0,320.0
0.24,large,314,316.0,319.0
0.24,large,313,317.0,326.0
0.24,large,313,317.0,325.0
0.24,large,313,317.0,324.0
0.24,large,313,317.0,323.0
0.24,large,313,317.0,322.0
0.24,large,313,317.0,321.0
0.24,large,313,317.0,320.0
0.24,large,313,317.0,319.0
0.24,large,313,318.0,326.0
0.24,large,313,318.0,325.0
0.24,large,313,318.0,324.0
0.24,large,313,318.0,323.0
0.24,large,313,318.0,322.0
0.24,large,313,318.0,321.0
0.24,large,313,318.0,320.0
0.24,large,313,318.0,319.0
0.24,large,313,320.0,321.0
0.24,large,313,319.0,326.0
0.24,large,313,319.0,325.0
0.24,large,313,319.0,324.0
0.24,large,313,319.0,323.0
0.24,large,313,319.0,322.0
0.24,large,313,319.0,321.0
0.24,large,313,319.0,320.0
0.24,large,313,321.0,324.0
0.24,large,313,321.0,323.0
0.24,large,313,321.0,322.0
0.24,large,313,320.0,326.0
0.24,large,313,320.0,325.0
0.24,large,313,320.0,324.0
0.24,large,313,320.0,323.0
0.24,large,313,320.0,322.0
0.24,large,313,314.0,323.0
0.24,large,313,314.0,322.0
0.24,large,313,314.0,321.0
