reward_improvement,perturb_type,perturb_idx_0,perturb_idx_1,perturb_idx_2
0.24,large,307,312.0,326.0
0.24,large,307,314.0,321.0
0.24,large,307,314.0,320.0
0.24,large,307,314.0,319.0
0.24,large,307,314.0,318.0
0.24,large,307,314.0,317.0
0.24,large,307,313.0,326.0
0.24,large,307,313.0,325.0
0.24,large,307,313.0,324.0
0.24,large,306,321.0,322.0
0.24,large,306,320.0,326.0
0.24,large,306,320.0,325.0
0.24,large,306,320.0,324.0
0.24,large,306,320.0,323.0
0.24,large,306,320.0,322.0
0.24,large,306,320.0,321.0
0.24,large,306,319.0,326.0
0.24,large,306,323.0,325.0
0.24,large,306,323.0,324.0
0.24,large,306,322.0,326.0
0.24,large,306,322.0,324.0
0.24,large,306,321.0,326.0
0.24,large,306,321.0,325.0
0.24,large,306,321.0,324.0
0.24,large,306,321.0,323.0
0.24,large,307,308.0,321.0
0.24,large,307,308.0,320.0
0.24,large,307,308.0,319.0
0.24,large,307,308.0,318.0
0.24,large,307,308.0,317.0
0.24,large,306,325.0,326.0
0.24,large,306,324.0,326.0
0.24,large,306,323.0,326.0
0.24,large,307,309.0,319.0
0.24,large,307,309.0,318.0
0.24,large,307,309.0,317.0
0.24,large,307,308.0,326.0
0.24,large,307,308.0,325.0
0.24,large,307,308.0,324.0
0.24,large,307,308.0,323.0
0.24,large,307,308.0,322.0
0.24,large,306,316.0,323.0
0.24,large,306,316.0,322.0
0.24,large,306,316.0,321.0
0.24,large,306,316.0,320.0
0.24,large,306,316.0,319.0
0.24,large,306,316.0,318.0
0.24,large,306,316.0,317.0
0.24,large,306,315.0,326.0
0.24,large,306,317.0,322.0
0.24,large,306,317.0,321.0
0.24,large,306,317.0,320.0
0.24,large,306,317.0,319.0
0.24,large,306,317.0,318.0
0.24,large,306,316.0,326.0
0.24,large,306,316.0,325.0
0.24,large,306,316.0,324.0
0.24,large,306,318.0,322.0
0.24,large,306,318.0,321.0
0.24,large,306,318.0,320.0
0.24,large,306,318.0,319.0
0.24,large,306,317.0,326.0
0.24,large,306,317.0,325.0
0.24,large,306,317.0,324.0
0.24,large,306,317.0,323.0
0.24,large,306,319.0,323.0
0.24,large,306,319.0,322.0
0.24,large,306,319.0,321.0
0.24,large,306,319.0,320.0
0.24,large,306,318.0,326.0
0.24,large,306,318.0,325.0
0.24,large,306,318.0,324.0
0.24,large,306,318.0,323.0
0.24,large,306,313.0,319.0
0.24,large,306,313.0,318.0
0.24,large,306,313.0,317.0
0.24,large,306,312.0,326.0
0.24,large,306,312.0,325.0
0.24,large,306,312.0,324.0
0.24,large,306,312.0,323.0
0.24,large,306,312.0,322.0
0.24,large,306,314.0,317.0
0.24,large,306,313.0,326.0
0.24,large,306,313.0,325.0
0.24,large,306,313.0,324.0
0.24,large,306,313.0,323.0
0.24,large,306,313.0,322.0
0.24,large,306,313.0,321.0
0.24,large,306,313.0,320.0
0.24,large,306,314.0,326.0
0.24,large,306,314.0,325.0
0.24,large,306,314.0,324.0
0.24,large,306,314.0,323.0
0.24,large,306,314.0,321.0
0.24,large,306,314.0,320.0
0.24,large,306,314.0,319.0
0.24,large,306,314.0,318.0
0.24,large,306,315.0,325.0
0.24,large,306,315.0,324.0
0.24,large,306,315.0,323.0
0.24,large,306,315.0,322.0
0.24,large,306,315.0,320.0
0.24,large,306,315.0,319.0
0.24,large,306,315.0,318.0
0.24,large,306,315.0,317.0
0.24,large,306,308.0,317.0
0.24,large,306,307.0,326.0
0.24,large,306,307.0,325.0
0.24,large,306,307.0,324.0
0.24,large,306,307.0,323.0
0.24,large,306,307.0,322.0
0.24,large,306,307.0,321.0
0.24,large,306,307.0,320.0
0.24,large,306,308.0,325.0
0.24,large,306,308.0,324.0
0.24,large,306,308.0,323.0
0.24,large,306,308.0,322.0
0.24,large,306,308.0,321.0
0.24,large,306,308.0,320.0
0.24,large,306,308.0,319.0
0.24,large,306,308.0,318.0
0.24,large,306,309.0,323.0
0.24,large,306,309.0,322.0
0.24,large,306,309.0,321.0
0.24,large,306,309.0,320.0
0.24,large,306,309.0,319.0
0.24,large,306,309.0,318.0
0.24,large,306,309.0,317.0
0.24,large,306,308.0,326.0
0.24,large,306,312.0,321.0
0.24,large,306,312.0,320.0
0.24,large,306,312.0,319.0
0.24,large,306,312.0,318.0
0.24,large,306,312.0,317.0
0.24,large,306,309.0,326.0
0.24,large,306,309.0,325.0
0.24,large,306,309.0,324.0
0.24,large,305,319.0,322.0
0.24,large,305,319.0,321.0
0.24,large,305,319.0,320.0
0.24,large,305,318.0,326.0
0.24,large,305,318.0,325.0
0.24,large,305,318.0,324.0
